session_id,experiment_variant,converted,revenue
s1496,control,0,0
s12,control,0,0
s444,control,0,0
s2746,v1,0,0
s2486,v1,0,0
s2354,v1,0,0
s128,control,0,0
s2755,v1,0,0
s84,control,0,0
s1770,v1,0,0
s1964,v1,0,0
s2285,v1,0,0
s2592,v1,1,54.9
s357,control,0,0
s1595,v1,0,0
s2007,v1,0,0
s456,control,0,0
s237,control,0,0
s2604,v1,0,0
s1151,control,0,0
s1515,v1,0,0
s2351,v1,0,0
s1028,control,0,0
s2235,v1,0,0
s569,control,0,0
s1642,v1,0,0
s102,control,0,0
s1645,v1,0,0
s2081,v1,0,0
s909,control,0,0
s2131,v1,0,0
s156,control,0,0
s1701,v1,0,0
s1278,control,0,0
s1325,control,0,0
s753,control,0,0
s2783,v1,0,0
s2279,v1,0,0
s941,control,0,0
s2086,v1,1,74.21
s738,control,0,0
s412,control,0,0
s1846,v1,1,86.95
s155,control,0,0
s836,control,0,0
s311,control,0,0
s2357,v1,0,0
s429,control,0,0
s19,control,0,0
s2002,v1,0,0
s2369,v1,0,0
s247,control,0,0
s1107,control,0,0
s1778,v1,0,0
s77,control,0,0
s786,control,0,0
s1587,v1,0,0
s1535,v1,0,0
s241,control,0,0
s2299,v1,0,0
s688,control,0,0
s1425,control,0,0
s1056,control,0,0
s2685,v1,1,65.93
s2243,v1,0,0
s1747,v1,0,0
s503,control,0,0
s489,control,0,0
s1118,control,0,0
s896,control,0,0
s579,control,0,0
s1242,control,0,0
s2214,v1,0,0
s1265,control,0,0
s1203,control,0,0
s295,control,0,0
s930,control,0,0
s997,control,0,0
s2681,v1,0,0
s703,control,0,0
s1892,v1,0,0
s1601,v1,0,0
s2060,v1,0,0
s2490,v1,0,0
s2631,v1,0,0
s1458,control,0,0
s543,control,0,0
s853,control,0,0
s34,control,0,0
s634,control,0,0
s86,control,0,0
s55,control,0,0
s212,control,0,0
s2743,v1,0,0
s2225,v1,0,0
s1180,control,0,0
s2205,v1,0,0
s2426,v1,0,0
s2717,v1,0,0
s1397,control,0,0
s2880,v1,0,0
s46,control,0,0
s1732,v1,0,0
s781,control,0,0
s1416,control,0,0
s1029,control,0,0
s580,control,0,0
s2139,v1,0,0
s437,control,0,0
s2572,v1,0,0
s2427,v1,0,0
s1546,v1,0,0
s1378,control,0,0
s2180,v1,0,0
s980,control,0,0
s1074,control,0,0
s177,control,0,0
s105,control,0,0
s1953,v1,0,0
s1669,v1,0,0
s1364,control,0,0
s1652,v1,1,90.68
s146,control,0,0
s901,control,0,0
s1905,v1,0,0
s2821,v1,0,0
s1657,v1,0,0
s1590,v1,0,0
s236,control,0,0
s957,control,0,0
s239,control,1,54.24
s1828,v1,0,0
s83,control,0,0
s2213,v1,0,0
s2049,v1,0,0
s2078,v1,0,0
s1815,v1,0,0
s659,control,0,0
s864,control,0,0
s848,control,0,0
s1080,control,0,0
s1088,control,0,0
s1441,control,0,0
s913,control,0,0
s1714,v1,0,0
s2493,v1,0,0
s577,control,0,0
s2184,v1,0,0
s2958,v1,1,75.95
s950,control,0,0
s2642,v1,0,0
s2716,v1,0,0
s1405,control,0,0
s1521,v1,0,0
s1068,control,0,0
s954,control,0,0
s612,control,0,0
s695,control,0,0
s1418,control,0,0
s2722,v1,0,0
s2793,v1,0,0
s770,control,0,0
s1774,v1,0,0
s1970,v1,0,0
s2922,v1,0,0
s1922,v1,0,0
s198,control,0,0
s911,control,0,0
s1863,v1,0,0
s2348,v1,0,0
s758,control,0,0
s383,control,0,0
s1330,control,0,0
s2038,v1,0,0
s1093,control,0,0
s2052,v1,0,0
s1484,control,0,0
s2467,v1,0,0
s1867,v1,0,0
s2241,v1,0,0
s2517,v1,0,0
s2275,v1,0,0
s2177,v1,0,0
s2920,v1,0,0
s1836,v1,0,0
s845,control,0,0
s2489,v1,0,0
s2326,v1,0,0
s2815,v1,0,0
s2555,v1,0,0
s1757,v1,0,0
s1110,control,0,0
s902,control,0,0
s1980,v1,0,0
s1817,v1,0,0
s828,control,0,0
s2119,v1,0,0
s861,control,0,0
s2666,v1,0,0
s938,control,0,0
s1659,v1,0,0
s189,control,1,41.42
s2991,v1,0,0
s2918,v1,0,0
s1845,v1,1,21.97
s2201,v1,0,0
s338,control,1,51.9
s2487,v1,0,0
s536,control,0,0
s1229,control,0,0
s1266,control,0,0
s2576,v1,0,0
s1712,v1,0,0
s2257,v1,1,65.94
s1024,control,0,0
s2407,v1,0,0
s874,control,1,56.3
s1911,v1,0,0
s534,control,0,0
s889,control,0,0
s440,control,1,51.09
s1763,v1,1,45.97
s1131,control,0,0
s1637,v1,0,0
s679,control,0,0
s949,control,0,0
s2233,v1,0,0
s1431,control,0,0
s1385,control,0,0
s1635,v1,1,40.61
s1877,v1,1,68.55
s2776,v1,0,0
s426,control,0,0
s1261,control,0,0
s2782,v1,0,0
s1963,v1,0,0
s685,control,0,0
s2311,v1,0,0
s2637,v1,0,0
s1022,control,0,0
s2055,v1,0,0
s2340,v1,0,0
s1046,control,0,0
s1840,v1,0,0
s2676,v1,0,0
s2791,v1,0,0
s2647,v1,0,0
s1267,control,0,0
s1162,control,0,0
s2901,v1,0,0
s2041,v1,0,0
s2529,v1,0,0
s290,control,0,0
s1561,v1,0,0
s689,control,0,0
s2882,v1,0,0
s2120,v1,0,0
s691,control,0,0
s1772,v1,0,0
s1052,control,0,0
s665,control,0,0
s1154,control,0,0
s667,control,0,0
s851,control,0,0
s2686,v1,0,0
s464,control,0,0
s2952,v1,0,0
s1685,v1,0,0
s2734,v1,0,0
s545,control,0,0
s435,control,0,0
s1146,control,0,0
s1667,v1,0,0
s2022,v1,0,0
s1957,v1,0,0
s2277,v1,0,0
s334,control,0,0
s2474,v1,0,0
s2934,v1,1,55.08
s2445,v1,0,0
s805,control,0,0
s2970,v1,0,0
s900,control,0,0
s2398,v1,0,0
s568,control,0,0
s2727,v1,0,0
s2585,v1,0,0
s10,control,0,0
s447,control,0,0
s2288,v1,0,0
s1792,v1,0,0
s2629,v1,0,0
s1808,v1,0,0
s1160,control,0,0
s2065,v1,0,0
s1206,control,0,0
s605,control,0,0
s2847,v1,0,0
s415,control,0,0
s271,control,0,0
s2754,v1,0,0
s2536,v1,1,42.43
s1,control,0,0
s133,control,0,0
s1887,v1,0,0
s1833,v1,0,0
s33,control,0,0
s1222,control,0,0
s1934,v1,0,0
s1482,control,0,0
s727,control,0,0
s2503,v1,0,0
s201,control,0,0
s356,control,0,0
s1164,control,0,0
s2578,v1,0,0
s2577,v1,0,0
s2208,v1,0,0
s1653,v1,0,0
s2984,v1,0,0
s1098,control,0,0
s1662,v1,0,0
s1320,control,0,0
s52,control,0,0
s1413,control,0,0
s1584,v1,1,60.7
s903,control,0,0
s2975,v1,0,0
s107,control,0,0
s1578,v1,0,0
s1945,v1,0,0
s1248,control,1,77.67
s2446,v1,0,0
s2584,v1,0,0
s448,control,0,0
s1921,v1,0,0
s1573,v1,0,0
s1639,v1,0,0
s1351,control,0,0
s2036,v1,0,0
s2542,v1,0,0
s2464,v1,0,0
s2961,v1,0,0
s2397,v1,0,0
s793,control,0,0
s126,control,0,0
s2313,v1,0,0
s1526,v1,0,0
s1344,control,0,0
s792,control,0,0
s1179,control,1,88.55
s1704,v1,0,0
s2634,v1,0,0
s1881,v1,0,0
s2513,v1,0,0
s1524,v1,0,0
s2701,v1,0,0
s1530,v1,0,0
s637,control,0,0
s1759,v1,0,0
s2195,v1,0,0
s1996,v1,0,0
s2860,v1,0,0
s1729,v1,0,0
s1709,v1,0,0
s260,control,0,0
s92,control,0,0
s254,control,0,0
s2039,v1,0,0
s172,control,0,0
s2810,v1,0,0
s474,control,0,0
s1636,v1,0,0
s604,control,0,0
s2636,v1,1,59.56
s221,control,0,0
s1742,v1,0,0
s1843,v1,0,0
s1644,v1,0,0
s1579,v1,0,0
s766,control,0,0
s2997,v1,0,0
s638,control,0,0
s1837,v1,0,0
s1467,control,0,0
s1338,control,0,0
s2016,v1,0,0
s2123,v1,0,0
s765,control,0,0
s1342,control,0,0
s1885,v1,0,0
s1137,control,0,0
s502,control,0,0
s1352,control,0,0
s1856,v1,0,0
s2436,v1,0,0
s378,control,0,0
s680,control,0,0
s1901,v1,0,0
s2080,v1,0,0
s1795,v1,0,0
s1866,v1,0,0
s1249,control,0,0
s761,control,0,0
s1085,control,0,0
s2927,v1,0,0
s1968,v1,0,0
s1527,v1,0,0
s823,control,0,0
s1956,v1,0,0
s2216,v1,0,0
s1214,control,0,0
s1373,control,0,0
s1585,v1,0,0
s2024,v1,0,0
s1702,v1,0,0
s388,control,0,0
s1656,v1,0,0
s806,control,0,0
s1507,v1,0,0
s2944,v1,0,0
s1627,v1,0,0
s963,control,0,0
s48,control,0,0
s2204,v1,0,0
s417,control,0,0
s1347,control,1,40.67
s1251,control,0,0
s1558,v1,0,0
s1902,v1,0,0
s2977,v1,0,0
s1368,control,0,0
s783,control,0,0
s2095,v1,0,0
s45,control,0,0
s1430,control,0,0
s2719,v1,0,0
s2766,v1,0,0
s1291,control,0,0
s850,control,0,0
s2684,v1,0,0
s1407,control,0,0
s852,control,0,0
s671,control,0,0
s2269,v1,0,0
s2106,v1,0,0
s2995,v1,0,0
s2040,v1,0,0
s1332,control,0,0
s2809,v1,0,0
s1900,v1,0,0
s199,control,0,0
s1020,control,0,0
s291,control,0,0
s2287,v1,0,0
s229,control,0,0
s1784,v1,0,0
s2332,v1,0,0
s2545,v1,0,0
s2207,v1,0,0
s1027,control,0,0
s532,control,0,0
s67,control,0,0
s1254,control,0,0
s453,control,0,0
s1393,control,0,0
s2390,v1,0,0
s1810,v1,0,0
s1862,v1,0,0
s279,control,0,0
s572,control,0,0
s469,control,0,0
s1487,control,0,0
s1982,v1,0,0
s272,control,0,0
s1576,v1,0,0
s2228,v1,0,0
s2294,v1,0,0
s2608,v1,0,0
s715,control,0,0
s2444,v1,0,0
s505,control,0,0
s1193,control,0,0
s1726,v1,0,0
s2828,v1,0,0
s423,control,0,0
s690,control,0,0
s2624,v1,0,0
s2114,v1,0,0
s1350,control,0,0
s297,control,0,0
s2494,v1,0,0
s1749,v1,0,0
s2249,v1,0,0
s2159,v1,0,0
s151,control,1,43.04
s2141,v1,0,0
s716,control,0,0
s392,control,0,0
s135,control,1,55.65
s2816,v1,0,0
s832,control,0,0
s68,control,0,0
s2329,v1,0,0
s664,control,0,0
s1102,control,0,0
s220,control,0,0
s1434,control,1,38.06
s371,control,0,0
s1519,v1,0,0
s1767,v1,1,47.77
s2129,v1,0,0
s2917,v1,0,0
s705,control,0,0
s608,control,0,0
s2187,v1,0,0
s1673,v1,0,0
s404,control,0,0
s796,control,0,0
s91,control,0,0
s1668,v1,0,0
s511,control,0,0
s2557,v1,0,0
s1427,control,0,0
s24,control,0,0
s307,control,0,0
s2966,v1,0,0
s1493,control,0,0
s1060,control,0,0
s645,control,0,0
s1592,v1,0,0
s248,control,0,0
s184,control,0,0
s2912,v1,0,0
s1114,control,0,0
s2392,v1,0,0
s2850,v1,0,0
s1781,v1,0,0
s233,control,0,0
s749,control,0,0
s1788,v1,0,0
s2841,v1,0,0
s129,control,0,0
s2237,v1,0,0
s1814,v1,0,0
s1773,v1,0,0
s2057,v1,0,0
s451,control,0,0
s1903,v1,0,0
s1176,control,0,0
s2702,v1,0,0
s180,control,0,0
s1723,v1,0,0
s1475,control,0,0
s2290,v1,0,0
s594,control,0,0
s972,control,0,0
s1453,control,0,0
s617,control,0,0
s2665,v1,0,0
s7,control,0,0
s2744,v1,0,0
s2888,v1,0,0
s1758,v1,0,0
s345,control,0,0
s28,control,0,0
s58,control,0,0
s863,control,0,0
s1305,control,0,0
s2506,v1,0,0
s389,control,0,0
s1435,control,0,0
s2871,v1,0,0
s2293,v1,0,0
s1693,v1,0,0
s1647,v1,0,0
s1528,v1,0,0
s1893,v1,0,0
s2005,v1,0,0
s1949,v1,0,0
s270,control,0,0
s2570,v1,0,0
s224,control,0,0
s42,control,0,0
s873,control,0,0
s1553,v1,0,0
s203,control,0,0
s1510,v1,0,0
s1705,v1,0,0
s2795,v1,0,0
s944,control,0,0
s111,control,0,0
s597,control,0,0
s1632,v1,0,0
s2090,v1,0,0
s910,control,0,0
s2796,v1,0,0
s2069,v1,0,0
s2526,v1,0,0
s262,control,0,0
s1356,control,0,0
s1362,control,0,0
s1366,control,0,0
s1451,control,0,0
s2093,v1,0,0
s1565,v1,0,0
s431,control,0,0
s358,control,0,0
s2842,v1,0,0
s2342,v1,0,0
s649,control,0,0
s2321,v1,0,0
s377,control,0,0
s1138,control,0,0
s2949,v1,0,0
s2736,v1,0,0
s998,control,0,0
s2658,v1,0,0
s1289,control,0,0
s1148,control,0,0
s558,control,0,0
s2349,v1,0,0
s1479,control,0,0
s1988,v1,0,0
s1301,control,0,0
s1448,control,0,0
s2099,v1,1,62.78
s2601,v1,0,0
s2915,v1,0,0
s1993,v1,0,0
s414,control,0,0
s1708,v1,0,0
s1720,v1,0,0
s1711,v1,0,0
s2530,v1,0,0
s533,control,0,0
s1897,v1,0,0
s2267,v1,0,0
s2938,v1,0,0
s1372,control,0,0
s1243,control,0,0
s837,control,0,0
s2162,v1,0,0
s1483,control,0,0
s1834,v1,0,0
s2250,v1,0,0
s2846,v1,0,0
s1155,control,0,0
s1918,v1,1,45.05
s1927,v1,0,0
s2281,v1,0,0
s1841,v1,0,0
s160,control,0,0
s777,control,0,0
s1690,v1,0,0
s1316,control,0,0
s1324,control,0,0
s2674,v1,0,0
s1736,v1,0,0
s2664,v1,1,65.35
s1529,v1,0,0
s1436,control,0,0
s2381,v1,0,0
s2908,v1,0,0
s1581,v1,0,0
s2591,v1,0,0
s1235,control,0,0
s2524,v1,0,0
s1549,v1,0,0
s2724,v1,0,0
s2837,v1,0,0
s1035,control,0,0
s1977,v1,0,0
s1541,v1,0,0
s1218,control,0,0
s1260,control,0,0
s1450,control,0,0
s961,control,0,0
s82,control,0,0
s2158,v1,0,0
s2030,v1,0,0
s952,control,0,0
s962,control,0,0
s676,control,0,0
s2156,v1,0,0
s1854,v1,0,0
s892,control,0,0
s1906,v1,0,0
s472,control,0,0
s2370,v1,0,0
s2514,v1,0,0
s907,control,0,0
s1099,control,0,0
s1832,v1,0,0
s1158,control,0,0
s2108,v1,0,0
s1649,v1,0,0
s1495,control,0,0
s1873,v1,0,0
s2523,v1,0,0
s2889,v1,0,0
s1456,control,1,52.54
s25,control,1,56.88
s2900,v1,0,0
s814,control,0,0
s2295,v1,0,0
s2460,v1,0,0
s2192,v1,0,0
s1610,v1,0,0
s35,control,0,0
s1471,control,0,0
s127,control,0,0
s2725,v1,0,0
s1864,v1,0,0
s1447,control,0,0
s975,control,0,0
s1051,control,0,0
s2910,v1,0,0
s2720,v1,0,0
s1580,v1,0,0
s331,control,0,0
s626,control,0,0
s585,control,0,0
s696,control,0,0
s266,control,0,0
s1025,control,1,73.17
s2928,v1,0,0
s1097,control,0,0
s808,control,0,0
s1312,control,0,0
s2537,v1,0,0
s282,control,0,0
s868,control,0,0
s2763,v1,0,0
s97,control,0,0
s2389,v1,0,0
s2229,v1,0,0
s1144,control,0,0
s313,control,0,0
s314,control,0,0
s878,control,0,0
s2190,v1,0,0
s499,control,0,0
s1797,v1,0,0
s2286,v1,0,0
s2752,v1,0,0
s299,control,0,0
s1684,v1,0,0
s1566,v1,0,0
s1599,v1,0,0
s2478,v1,0,0
s673,control,1,63.33
s601,control,0,0
s801,control,0,0
s740,control,0,0
s167,control,0,0
s2989,v1,0,0
s1786,v1,0,0
s1978,v1,0,0
s607,control,0,0
s2935,v1,0,0
s857,control,0,0
s1699,v1,0,0
s905,control,0,0
s1011,control,0,0
s484,control,0,0
s684,control,0,0
